,t # 0
419,v 11 0
420,v 12 0
421,v 13 0
422,v 14 0
423,v 15 0
424,v 16 0
425,v 17 0
426,v 18 0
427,v 19 1
428,v 20 1
429,v 21 1
430,v 22 1
431,v 23 1
432,e 0 1 0
433,e 0 2 0
434,e 0 21 0
435,e 1 2 0
436,e 1 21 0
437,e 2 3 0
438,e 2 4 0
439,e 2 20 0
440,e 2 21 0
441,e 3 20 0
442,e 3 4 0
443,e 4 5 0
444,e 4 19 0
445,e 5 7 0
446,e 5 6 0
447,e 5 19 0
448,e 6 7 0
449,e 6 19 0
450,e 7 8 0
451,e 7 19 0
452,e 7 9 0
453,e 8 10 0
454,e 8 11 0
455,e 8 9 0
456,e 9 10 0
457,e 9 11 0
458,e 10 11 0
459,e 11 22 0
460,e 11 23 0
461,e 11 12 0
462,e 12 23 0
463,e 12 22 0
464,e 13 16 0
465,e 13 23 0
466,e 13 15 0
467,e 13 14 0
468,e 14 16 0
469,e 14 15 0
470,e 15 16 0
471,e 15 18 0
472,e 15 17 0
473,e 16 18 0
474,e 16 17 0
475,e 17 18 0
476,e 20 21 0
477,e 22 23 0
478,t # 6
479,v 0 0
480,v 1 0
481,v 2 0
482,v 3 0
483,v 4 0
484,v 5 0
485,v 6 0
486,v 7 0
487,v 8 0
488,v 9 0
489,v 10 0
490,v 11 0
491,v 12 0
492,v 13 0
493,v 14 0
494,v 15 0
495,v 16 0
496,v 17 0
497,v 18 1
498,v 19 1
499,v 20 1
500,v 21 1
501,v 22 1
502,v 23 1
503,v 24 1
504,v 25 1
505,e 0 1 0
506,e 0 3 0
507,e 0 2 0
508,e 1 2 0
509,e 1 18 0
510,e 1 3 0
511,e 1 21 0
512,e 2 18 0
513,e 2 3 0
514,e 2 4 0
515,e 2 5 0
516,e 2 21 0
517,e 3 5 0
518,e 3 4 0
519,e 3 22 0
520,e 4 5 0
521,e 4 22 0
522,e 5 6 0
523,e 5 23 0
524,e 6 7 0
525,e 6 8 0
526,e 6 23 0
527,e 7 8 0
528,e 7 9 0
529,e 8 10 0
530,e 8 11 0
531,e 8 9 0
532,e 9 10 0
533,e 9 11 0
534,e 9 20 0
535,e 10 20 0
536,e 10 11 0
537,e 11 19 0
538,e 12 13 0
539,e 12 24 0
540,e 12 20 0
541,e 12 19 0
542,e 12 14 0
543,e 13 14 0
544,e 13 15 0
545,e 13 24 0
546,e 14 16 0
547,e 14 24 0
548,e 14 25 0
549,e 14 15 0
550,e 15 16 0
551,e 15 25 0
552,e 15 17 0
553,e 16 25 0
554,e 16 17 0
555,e 17 25 0
556,e 18 22 0
557,e 18 21 0
558,e 19 20 0
559,e 19 24 0
560,e 20 23 0
561,e 21 22 0
562,e 22 23 0
563,e 24 25 0
564,t # 7
565,v 0 0
566,v 1 0
567,v 2 0
568,v 3 0
569,v 4 0
570,v 5 0
571,v 6 0
572,v 7 0
573,v 8 0
574,v 9 0
575,v 10 0
576,v 11 0
577,v 12 0
578,v 13 0
579,v 14 0
580,v 15 0
581,v 16 1
582,v 17 1
583,v 18 1
584,v 19 1
585,v 20 1
586,v 21 1
587,v 22 1
588,v 23 1
589,v 24 1
590,v 25 1
591,v 26 1
592,v 27 1
593,v 28 1
594,v 29 1
595,v 30 1
596,v 31 1
597,v 32 1
598,v 33 1
599,v 34 1
600,v 35 1
601,v 36 1
602,v 37 1
603,v 38 1
604,v 39 1
605,v 40 1
606,v 41 1
607,v 42 1
608,v 43 1
609,v 44 1
610,v 45 1
611,v 46 1
612,v 47 1
613,v 48 1
614,v 49 1
615,v 50 1
616,v 51 1
617,v 52 1
618,v 53 1
619,v 54 1
620,v 55 1
621,v 56 1
622,v 57 1
623,v 58 1
624,v 59 1
625,v 60 1
626,v 61 1
627,v 62 1
628,v 63 1
629,v 64 1
630,v 65 1
631,v 66 1
632,v 67 1
633,v 68 1
634,v 69 1
635,v 70 1
636,v 71 1
637,v 72 1
638,v 73 1
639,v 74 1
640,v 75 1
641,v 76 1
642,v 77 1
643,v 78 1
644,v 79 1
645,v 80 1
646,v 81 1
647,v 82 1
648,v 83 1
649,v 84 1
650,v 85 1
651,v 86 1
652,v 87 1
653,e 0 26 0
654,e 0 22 0
655,e 1 63 0
656,e 1 24 0
657,e 1 45 0
658,e 1 27 0
659,e 2 7 0
660,e 2 3 0
661,e 2 21 0
662,e 3 16 0
663,e 3 6 0
664,e 4 40 0
665,e 4 22 0
666,e 5 42 0
667,e 5 45 0
668,e 5 27 0
669,e 6 7 0
670,e 6 11 0
671,e 6 39 0
672,e 6 15 0
673,e 7 10 0
674,e 7 16 0
675,e 7 34 0
676,e 7 14 0
677,e 7 15 0
678,e 8 58 0
679,e 8 22 0
680,e 9 63 0
681,e 9 60 0
682,e 9 27 0
683,e 10 11 0
684,e 10 57 0
685,e 11 52 0
686,e 12 76 0
687,e 13 63 0
688,e 13 81 0
689,e 13 78 0
690,e 13 45 0
691,e 13 27 0
692,e 14 15 0
693,e 14 75 0
694,e 15 70 0
695,e 16 17 0
696,e 17 18 0
697,e 18 38 0
698,e 18 74 0
699,e 18 20 0
700,e 18 56 0
701,e 19 20 0
702,e 19 31 0
703,e 20 54 0
704,e 20 36 0
705,e 20 72 0
706,e 21 33 0
707,e 22 62 0
708,e 22 44 0
709,e 22 23 0
710,e 22 80 0
711,e 22 26 0
712,e 23 61 0
713,e 23 79 0
714,e 23 25 0
715,e 23 43 0
716,e 24 25 0
717,e 25 77 0
718,e 25 41 0
719,e 25 59 0
720,e 26 58 0
721,e 26 76 0
722,e 26 40 0
723,e 27 29 0
724,e 28 30 0
725,e 28 32 0
726,e 29 30 0
727,e 32 33 0
728,e 32 50 0
729,e 32 86 0
730,e 33 87 0
731,e 34 35 0
732,e 35 36 0
733,e 36 38 0
734,e 36 74 0
735,e 36 56 0
736,e 37 38 0
737,e 37 49 0
738,e 39 51 0
739,e 40 62 0
740,e 40 80 0
741,e 40 44 0
742,e 41 61 0
743,e 41 79 0
744,e 41 43 0
745,e 41 42 0
746,e 43 44 0
747,e 45 47 0
748,e 46 48 0
749,e 46 50 0
750,e 47 48 0
751,e 50 51 0
752,e 50 68 0
753,e 51 87 0
754,e 52 53 0
755,e 53 54 0
756,e 54 56 0
757,e 55 67 0
758,e 55 56 0
759,e 57 69 0
760,e 58 62 0
761,e 59 61 0
762,e 59 60 0
763,e 61 62 0
764,e 63 65 0
765,e 64 66 0
766,e 64 68 0
767,e 65 66 0
768,e 68 69 0
769,e 68 86 0
770,e 69 87 0
771,e 70 71 0
772,e 71 72 0
773,e 72 74 0
774,e 73 74 0
775,e 73 85 0
776,e 75 87 0
777,e 76 80 0
778,e 77 79 0
779,e 77 78 0
780,e 79 80 0
781,e 81 83 0
782,e 82 84 0
783,e 82 86 0
784,e 83 84 0
785,e 86 87 0
786,t # 8
787,v 0 0
788,v 1 0
789,v 2 0
790,v 3 0
791,v 4 0
792,v 5 0
793,v 6 0
794,v 7 0
795,v 8 0
796,v 9 0
797,v 10 0
798,v 11 0
799,v 12 0
800,v 13 0
801,v 14 0
802,v 15 0
803,v 16 0
804,v 17 1
805,v 18 1
806,v 19 1
807,v 20 1
808,v 21 1
809,v 22 1
810,e 0 20 0
811,e 0 1 0
812,e 0 17 0
813,e 1 20 0
814,e 1 17 0
815,e 2 20 0
816,e 2 3 0
817,e 2 21 0
818,e 3 4 0
819,e 3 21 0
820,e 4 21 0
821,e 4 22 0
822,e 5 7 0
823,e 5 6 0
824,e 5 22 0
825,e 6 7 0
826,e 6 8 0
827,e 6 22 0
828,e 7 8 0
829,e 7 9 0
830,e 7 22 0
831,e 8 10 0
832,e 8 9 0
833,e 9 10 0
834,e 10 11 0
835,e 10 19 0
836,e 11 18 0
837,e 11 19 0
838,e 12 13 0
839,e 12 14 0
840,e 12 18 0
841,e 13 16 0
842,e 13 15 0
843,e 13 14 0
844,e 14 16 0
845,e 14 15 0
846,e 15 16 0
847,e 17 20 0
848,e 18 19 0
849,t # 9
850,v 0 0
851,v 1 0
852,v 2 0
853,v 3 0
854,v 4 0
855,v 5 0
856,v 6 0
857,v 7 0
858,v 8 0
859,v 9 0
860,v 10 0
861,v 11 0
862,v 12 0
863,v 13 0
864,v 14 0
865,v 15 0
866,v 16 0
867,v 17 0
868,v 18 0
869,v 19 0
870,v 20 1
871,v 21 1
872,v 22 1
873,v 23 1
874,v 24 1
875,v 25 1
876,v 26 1
877,v 27 1
878,v 28 1
879,v 29 1
880,v 30 1
881,v 31 1
882,e 0 25 0
883,e 0 23 0
884,e 0 22 0
885,e 1 2 0
886,e 1 23 0
887,e 1 26 0
888,e 2 26 0
889,e 2 3 0
890,e 2 24 0
891,e 3 28 0
892,e 3 24 0
893,e 4 29 0
894,e 4 5 0
895,e 4 27 0
896,e 5 30 0
897,e 5 27 0
898,e 6 30 0
899,e 6 7 0
900,e 6 31 0
901,e 7 8 0
902,e 7 31 0
903,e 7 21 0
904,e 8 20 0
905,e 8 9 0
906,e 8 21 0
907,e 9 20 0
908,e 9 21 0
909,e 10 20 0
910,e 10 11 0
911,e 10 12 0
912,e 11 13 0
913,e 11 12 0
914,e 11 20 0
915,e 12 13 0
916,e 12 14 0
917,e 13 14 0
918,e 14 15 0
919,e 15 16 0
920,e 15 17 0
921,e 16 18 0
922,e 16 17 0
923,e 16 19 0
924,e 17 18 0
925,e 17 19 0
926,e 18 19 0
927,e 22 25 0
928,e 22 23 0
929,e 23 25 0
930,e 23 26 0
931,e 24 28 0
932,e 27 29 0
933,e 28 29 0
934,e 30 31 0
935,t # 10
936,v 0 2
937,v 1 2
938,v 2 2
939,v 3 2
940,e 0 1 0
941,e 0 3 0
942,e 0 2 0
943,e 1 2 0
944,e 1 3 0
945,e 2 3 0
946,t # 11
947,v 0 0
948,v 1 0
949,v 2 1
950,v 3 1
951,v 4 1
952,v 5 1
953,v 6 1
954,v 7 1
955,v 8 1
956,v 9 1
957,v 10 1
958,v 11 1
959,v 12 1
960,v 13 1
961,e 0 8 0
962,e 0 3 0
963,e 0 4 0
964,e 1 5 0
965,e 1 2 0
966,e 1 6 0
967,e 2 5 0
968,e 2 7 0
969,e 2 6 0
970,e 2 3 0
971,e 3 7 0
972,e 3 8 0
973,e 3 4 0
974,e 3 6 0
975,e 4 7 0
976,e 4 8 0
977,e 5 10 0
978,e 5 11 0
979,e 6 7 0
980,e 7 8 0
981,e 9 13 0
982,e 9 11 0
983,e 9 12 0
984,e 10 11 0
985,e 10 12 0
986,e 11 13 0
987,e 11 12 0
988,e 12 13 0
989,t # 12
990,v 0 0
991,v 1 0
992,v 2 0
993,v 3 0
994,v 4 0
995,v 5 0
996,v 6 0
997,v 7 0
998,v 8 0
999,v 9 0
1000,v 10 0
1001,v 11 0
1002,v 12 0
1003,v 13 0
1004,v 14 0
1005,v 15 0
1006,v 16 0
1007,v 17 0
1008,v 18 0
1009,v 19 0
1010,v 20 0
1011,v 21 0
1012,v 22 0
1013,v 23 0
1014,v 24 0
1015,v 25 1
1016,v 26 1
1017,v 27 1
1018,v 28 1
1019,v 29 1
1020,v 30 1
1021,v 31 1
1022,v 32 1
1023,v 33 1
1024,v 34 1
1025,v 35 1
1026,v 36 1
1027,v 37 1
1028,v 38 1
1029,v 39 1
1030,v 40 1
1031,v 41 1
1032,e 0 1 0
1033,e 0 26 0
1034,e 0 27 0
1035,e 1 2 0
1036,e 1 26 0
1037,e 1 27 0
1038,e 2 25 0
1039,e 2 3 0
1040,e 2 26 0
1041,e 3 25 0
1042,e 3 31 0
1043,e 4 30 0
1044,e 4 5 0
1045,e 4 35 0
1046,e 5 34 0
1047,e 5 36 0
1048,e 5 6 0
1049,e 6 7 0
1050,e 6 8 0
1051,e 6 32 0
1052,e 7 8 0
1053,e 7 32 0
1054,e 8 33 0
1055,e 9 38 0
1056,e 9 37 0
1057,e 9 33 0
1058,e 9 10 0
1059,e 10 38 0
1060,e 10 28 0
1061,e 11 29 0
1062,e 11 12 0
1063,e 11 28 0
1064,e 12 29 0
1065,e 12 28 0
1066,e 13 39 0
1067,e 13 14 0
1068,e 13 40 0
1069,e 14 39 0
1070,e 14 41 0
1071,e 14 15 0
1072,e 15 16 0
1073,e 15 41 0
1074,e 16 41 0
1075,e 16 17 0
1076,e 17 18 0
1077,e 17 19 0
1078,e 18 20 0
1079,e 18 19 0
1080,e 19 20 0
1081,e 19 21 0
1082,e 20 22 0
1083,e 20 21 0
1084,e 21 24 0
1085,e 21 23 0
1086,e 21 22 0
1087,e 22 24 0
1088,e 22 23 0
1089,e 23 24 0
1090,e 25 31 0
1091,e 26 27 0
1092,e 29 39 0
1093,e 29 40 0
1094,e 30 34 0
1095,e 30 35 0
1096,e 30 31 0
1097,e 31 35 0
1098,e 32 34 0
1099,e 32 36 0
1100,e 33 38 0
1101,e 33 37 0
1102,e 34 36 0
1103,e 34 35 0
1104,e 35 36 0
1105,e 37 38 0
1106,e 39 40 0
1107,t # 13
1108,v 0 0
1109,v 1 0
1110,v 2 0
1111,v 3 0
1112,v 4 0
1113,v 5 0
1114,v 6 0
1115,v 7 0
1116,v 8 0
1117,v 9 0
1118,v 10 0
1119,v 11 0
1120,v 12 0
1121,v 13 0
1122,v 14 0
1123,v 15 0
1124,v 16 0
1125,v 17 0
1126,v 18 0
1127,v 19 0
1128,v 20 0
1129,v 21 0
1130,v 22 0
1131,v 23 0
1132,v 24 0
1133,v 25 1
1134,v 26 1
1135,v 27 1
1136,v 28 1
1137,v 29 1
1138,v 30 1
1139,v 31 1
1140,v 32 1
1141,v 33 1
1142,v 34 1
1143,v 35 1
1144,v 36 1
1145,v 37 1
1146,v 38 1
1147,v 39 1
1148,v 40 1
1149,e 0 1 0
1150,e 0 26 0
1151,e 0 27 0
1152,e 1 2 0
1153,e 1 26 0
1154,e 1 27 0
1155,e 2 25 0
1156,e 2 3 0
1157,e 2 26 0
1158,e 3 25 0
1159,e 3 31 0
1160,e 4 30 0
1161,e 4 5 0
1162,e 4 35 0
1163,e 5 34 0
1164,e 5 36 0
1165,e 5 6 0
1166,e 6 7 0
1167,e 6 8 0
1168,e 6 32 0
1169,e 7 8 0
1170,e 7 32 0
1171,e 8 33 0
1172,e 9 38 0
1173,e 9 37 0
1174,e 9 33 0
1175,e 9 10 0
1176,e 10 38 0
1177,e 10 28 0
1178,e 11 29 0
1179,e 11 12 0
1180,e 11 28 0
1181,e 12 29 0
1182,e 12 28 0
1183,e 13 29 0
1184,e 13 14 0
1185,e 13 39 0
1186,e 14 39 0
1187,e 14 15 0
1188,e 14 40 0
1189,e 15 16 0
1190,e 15 40 0
1191,e 16 17 0
1192,e 16 40 0
1193,e 17 18 0
1194,e 17 19 0
1195,e 18 20 0
1196,e 18 19 0
1197,e 19 20 0
1198,e 19 21 0
1199,e 20 22 0
1200,e 20 21 0
1201,e 21 24 0
1202,e 21 23 0
1203,e 21 22 0
1204,e 22 24 0
1205,e 22 23 0
1206,e 23 24 0
1207,e 25 31 0
1208,e 26 27 0
1209,e 29 39 0
1210,e 30 34 0
1211,e 30 35 0
1212,e 30 31 0
1213,e 31 35 0
1214,e 32 34 0
1215,e 32 36 0
1216,e 33 38 0
1217,e 33 37 0
1218,e 34 36 0
1219,e 34 35 0
1220,e 35 36 0
1221,e 37 38 0
1222,t # 14
1223,v 0 0
1224,v 1 0
1225,v 2 0
1226,v 3 0
1227,v 4 0
1228,v 5 0
1229,v 6 0
1230,v 7 0
1231,v 8 0
1232,v 9 0
1233,v 10 0
1234,v 11 0
1235,v 12 0
1236,v 13 0
1237,v 14 0
1238,v 15 0
1239,v 16 0
1240,v 17 0
1241,v 18 1
1242,v 19 1
1243,v 20 1
1244,v 21 1
1245,v 22 1
1246,v 23 1
1247,v 24 1
1248,v 25 1
1249,v 26 1
1250,v 27 1
1251,v 28 1
1252,v 29 1
1253,v 30 1
1254,v 31 1
1255,v 32 1
1256,v 33 1
1257,v 34 1
1258,v 35 1
1259,e 0 1 0
1260,e 0 18 0
1261,e 0 22 0
1262,e 1 18 0
1263,e 1 22 0
1264,e 1 21 0
1265,e 2 23 0
1266,e 3 5 0
1267,e 3 24 0
1268,e 3 6 0
1269,e 3 4 0
1270,e 3 19 0
1271,e 4 5 0
1272,e 4 6 0
1273,e 5 6 0
1274,e 5 7 0
1275,e 6 7 0
1276,e 7 28 0
1277,e 8 30 0
1278,e 8 29 0
1279,e 8 26 0
1280,e 8 27 0
1281,e 9 30 0
1282,e 9 10 0
1283,e 9 29 0
1284,e 10 11 0
1285,e 10 35 0
1286,e 11 12 0
1287,e 11 35 0
1288,e 12 13 0
1289,e 12 34 0
1290,e 12 35 0
1291,e 13 34 0
1292,e 13 33 0
1293,e 14 15 0
1294,e 14 32 0
1295,e 14 33 0
1296,e 15 16 0
1297,e 15 17 0
1298,e 15 31 0
1299,e 16 17 0
1300,e 16 31 0
1301,e 17 31 0
1302,e 18 22 0
1303,e 19 24 0
1304,e 19 23 0
1305,e 20 2 0
1306,e 20 22 0
1307,e 20 23 0
1308,e 20 21 0
1309,e 21 2 0
1310,e 21 22 0
1311,e 23 24 0
1312,e 25 26 0
1313,e 25 28 0
1314,e 25 27 0
1315,e 26 29 0
1316,e 26 28 0
1317,e 26 27 0
1318,e 27 28 0
1319,e 29 30 0
1320,e 32 34 0
1321,e 32 33 0
1322,e 33 34 0
1323,t # 15
1324,v 0 0
1325,v 1 0
1326,v 2 0
1327,v 3 0
1328,v 4 0
1329,v 5 0
1330,v 6 0
1331,v 7 0
1332,v 8 0
1333,v 9 0
1334,v 10 0
1335,v 11 0
1336,v 12 0
1337,v 13 0
1338,v 14 0
1339,v 15 0
1340,v 16 0
1341,v 17 0
1342,v 18 0
1343,v 19 0
1344,v 20 0
1345,v 21 0
1346,v 22 0
1347,v 23 0
1348,v 24 0
1349,v 25 1
1350,v 26 1
1351,v 27 1
1352,v 28 1
1353,v 29 1
1354,v 30 1
1355,v 31 1
1356,v 32 1
1357,v 33 1
1358,v 34 1
1359,v 35 1
1360,v 36 1
1361,v 37 1
1362,v 38 1
1363,v 39 1
1364,v 40 1
1365,v 41 1
1366,v 42 1
1367,v 43 1
1368,v 44 1
1369,v 45 1
1370,v 46 1
1371,v 47 1
1372,v 48 1
1373,v 49 1
1374,v 50 1
1375,v 51 1
1376,v 52 1
1377,v 53 1
1378,v 54 1
1379,e 0 13 0
1380,e 0 1 0
1381,e 1 3 0
1382,e 1 14 0
1383,e 1 2 0
1384,e 1 32 0
1385,e 1 15 0
1386,e 2 13 0
1387,e 2 16 0
1388,e 2 3 0
1389,e 3 33 0
1390,e 4 16 0
1391,e 4 18 0
1392,e 4 5 0
1393,e 4 31 0
1394,e 4 34 0
1395,e 5 30 0
1396,e 5 38 0
1397,e 5 6 0
1398,e 6 20 0
1399,e 6 7 0
1400,e 6 8 0
1401,e 6 28 0
1402,e 7 39 0
1403,e 7 8 0
1404,e 7 22 0
1405,e 8 40 0
1406,e 8 9 0
1407,e 8 22 0
1408,e 9 10 0
1409,e 9 23 0
1410,e 9 21 0
1411,e 10 24 0
1412,e 10 11 0
1413,e 10 22 0
1414,e 11 24 0
1415,e 11 23 0
1416,e 12 13 0
1417,e 12 14 0
1418,e 12 41 0
1419,e 13 14 0
1420,e 13 15 0
1421,e 13 48 0
1422,e 14 15 0
1423,e 15 49 0
1424,e 16 17 0
1425,e 16 50 0
1426,e 16 42 0
1427,e 17 43 0
1428,e 17 18 0
1429,e 17 47 0
1430,e 18 54 0
1431,e 18 53 0
1432,e 19 20 0
1433,e 19 51 0
1434,e 19 21 0
1435,e 20 21 0
1436,e 21 22 0
1437,e 22 23 0
1438,e 23 24 0
1439,e 25 32 0
1440,e 26 33 0
1441,e 26 27 0
1442,e 27 34 0
1443,e 28 39 0
1444,e 28 35 0
1445,e 28 40 0
1446,e 28 44 0
1447,e 28 51 0
1448,e 29 37 0
1449,e 29 36 0
1450,e 30 37 0
1451,e 30 38 0
1452,e 30 54 0
1453,e 30 53 0
1454,e 31 54 0
1455,e 31 38 0
1456,e 35 39 0
1457,e 35 40 0
1458,e 35 44 0
1459,e 35 51 0
